id,host_id,neighbourhood_group,neighbourhood,room_type,latitude,longitude,price,price_capped,price_log10,minimum_nights,minimum_nights_capped,number_of_reviews,number_of_reviews_ltm,reviews_per_month,calculated_host_listings_count,availability_365,last_review,license
583155402481165064,2634978,Isole,Cannaregio,Entire home/apt,45.44052,12.34115,324.0,324.0,2.510545010206612,1,1,67,13,1.59,142,317,2025-06-24,IT027042B4Q48TH75Q
583275679865958781,112992531,Isole,Dorsoduro,Entire home/apt,45.435215,12.324861,247.0,247.0,2.392696953259666,2,2,203,52,4.85,1,325,2025-09-06,IT027042C2IXXSLDRK
583713103832034331,252079253,Isole,Murano,Entire home/apt,45.45848,12.3553,149.0,149.0,2.173186268412274,1,1,36,7,0.87,4,351,2025-05-09,IT027042C2VKLS7UQE
583956488148094316,173200514,Isole,Castello,Entire home/apt,45.43693,12.34088,550.0,550.0,2.7403626894942437,1,1,58,6,1.38,73,192,2025-07-24,IT027042B43CXN7XTE
584113200985395519,449905864,Terraferma,Piave 1860,Private room,45.486137,12.23365,90.0,90.0,1.9542425094393248,1,1,17,1,0.41,6,325,2025-08-06,IT027042B4BTP3H6NM
584453893380934150,449905864,Terraferma,Piave 1860,Private room,45.48634,12.23453,90.0,90.0,1.9542425094393248,1,1,43,0,1.05,6,326,2023-10-02,IT027042B4BTP3H6NM
584456638729454327,449905864,Terraferma,Piave 1860,Private room,45.4866,12.23264,90.0,90.0,1.9542425094393248,1,1,6,0,0.14,6,329,2023-05-11,IT027042B4BTP3H6NM
584475464971435333,72445649,Isole,San Marco,Entire home/apt,45.432014,12.332363,172.0,172.0,2.2355284469075487,3,3,91,25,2.19,18,47,2025-09-03,IT027042C2QONE7RBY
584486014515026500,197224424,Isole,Castello,Entire home/apt,45.43235,12.35091,150.0,150.0,2.1760912590556813,2,2,1,0,0.04,4,156,2023-09-24,IT027042C2AO8P3DTB
584653376925230194,449905864,Terraferma,Piave 1860,Private room,45.48532,12.23469,90.0,90.0,1.9542425094393248,1,1,39,0,0.93,6,317,2024-06-09,IT027042B4BTP3H6NM
584654808916945058,449905864,Terraferma,Piave 1860,Private room,45.48678,12.23429,100.0,100.0,2.0,1,1,12,1,0.29,6,331,2025-08-05,IT027042B4BTP3H6NM
